qa_id,source_type,source_sample_id,question,scenario_text,ground_truth,original_best_score,masked_best_score,hard_score
BC-0027,bank_call,BC-0027,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 하나은행 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0027로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 이찬우님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 476-13로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?
상담사: 네, 그런 요청은 없고 앱이나 영업점 본인확인 이후에만 처리됩니다.",no,35.134039,32.448136,87.55624307485061
BC-0039,bank_call,BC-0039,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 토스뱅크 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0039로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 이찬우님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 125-67로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?",no,33.617405,30.680081,82.63752624758115
BC-0051,bank_call,BC-0051,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 토스뱅크 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0051로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 정주은님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 659-52로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?
상담사: 네, 그런 요청은 없고 앱이나 영업점 본인확인 이후에만 처리됩니다.",no,36.601958,32.448136,89.0241624631868
BC-0057,bank_call,BC-0057,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 토스뱅크 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0057로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 최유나님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 994-56로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?",no,33.617405,30.680081,82.63752624758115
BC-0069,bank_call,BC-0069,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: IBK기업은행 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0069로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 조성민님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 093-91로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?
상담사: 네, 그런 요청은 없고 앱이나 영업점 본인확인 이후에만 처리됩니다.",no,35.134039,32.448136,87.55624307485061
BC-0075,bank_call,BC-0075,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 신한은행 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0075로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 정주은님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 814-41로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?
상담사: 네, 그런 요청은 없고 앱이나 영업점 본인확인 이후에만 처리됩니다.",no,37.003749,32.448136,89.42595291224397
BC-0084,bank_call,BC-0084,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 국민은행 상품상담부입니다. 최근 문의가 많은 안심차단 서비스와 예적금 상품 안내 도와드리겠습니다.
상담사: 이번 문의는 접수코드 BC-0084로 등록돼 있습니다.
고객: 요즘 이상거래 걱정이 있어서 보안성 있는 상품이 궁금합니다.
상담사: 고객님 상황을 기준으로 입출금 제한 서비스와 일반 예적금 상품군을 나눠 설명드리겠습니다.
고객: 중도해지 위약이나 출금 제한이 어떻게 다른지가 중요해요.
상담사: 안심차단 서비스는 의심거래 차단 목적이고, 예적금은 보관 목적이라 절차가 다릅니다.
고객: 그럼 제 돈을 다른 데로 옮겨야 하는 상품은 아닌 거죠?
상담사: 네, 자금 이동을 강제하는 상품은 아니고 신청 여부만 선택하시면 됩니다.
고객: 상담은 어디서 하면 빠를까요?
상담사: 수원점 또는 앱 상담 중 편한 방식으로 진행 가능합니다.
고객: 비교표와 혜택 목록 보내주세요.
상담사: 상담 예약번호는 BC-0084입니다.
고객: 접수된 건은 10분 내로 반영되겠죠?
상담사: 네, 영업일 기준 바로 안내 가능합니다.
고객: 딱딱한 용어는 빼고 쉬운 말로만 해주세요.
상담사: 네, 약식으로만 깔끔히 정리드릴게요.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?
상담사: 네, 그런 요청은 없고 앱이나 영업점 본인확인 이후에만 처리됩니다.
고객: 처리 상태만 문자로 받으면 되겠네요.
상담사: 네, 접수 결과와 후속 절차만 순서대로 안내드리겠습니다.",no,34.067802,29.134533,80.76960220140012
BC-0090,bank_call,BC-0090,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 토스뱅크 상품상담부입니다. 최근 문의가 많은 안심차단 서비스와 예적금 상품 안내 도와드리겠습니다.
상담사: 이번 문의는 접수코드 BC-0090로 등록돼 있습니다.
고객: 요즘 이상거래 걱정이 있어서 보안성 있는 상품이 궁금합니다.
상담사: 고객님 상황을 기준으로 입출금 제한 서비스와 일반 예적금 상품군을 나눠 설명드리겠습니다.
고객: 중도해지 위약이나 출금 제한이 어떻게 다른지가 중요해요.
상담사: 안심차단 서비스는 의심거래 차단 목적이고, 예적금은 보관 목적이라 절차가 다릅니다.
고객: 그럼 제 돈을 다른 데로 옮겨야 하는 상품은 아닌 거죠?
상담사: 네, 자금 이동을 강제하는 상품은 아니고 신청 여부만 선택하시면 됩니다.
고객: 상담은 어디서 하면 빠를까요?
상담사: 잠실점 또는 앱 상담 중 편한 방식으로 진행 가능합니다.
고객: 비교표와 혜택 목록 보내주세요.
상담사: 상담 예약번호는 BC-0090입니다.
고객: 접수된 건은 10분 내로 반영되겠죠?
상담사: 네, 영업일 기준 바로 안내 가능합니다.
고객: 딱딱한 용어는 빼고 쉬운 말로만 해주세요.
상담사: 네, 약식으로만 깔끔히 정리드릴게요.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?
상담사: 네, 그런 요청은 없고 앱이나 영업점 본인확인 이후에만 처리됩니다.
고객: 처리 상태만 문자로 받으면 되겠네요.
상담사: 네, 접수 결과와 후속 절차만 순서대로 안내드리겠습니다.",no,34.737935,29.134533,81.43973451854379
BC-0093,bank_call,BC-0093,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 우리은행 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0093로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 박지훈님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 324-47로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.",no,33.426228,29.736616,81.03115292130643
BC-0099,bank_call,BC-0099,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 국민은행 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0099로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 조성민님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 663-37로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?
상담사: 네, 그런 요청은 없고 앱이나 영업점 본인확인 이후에만 처리됩니다.",no,36.174842,32.448136,88.59704656582457
