qa_id,source_type,source_sample_id,question,scenario_text,ground_truth,original_best_score,masked_best_score,hard_score
BC-0027,bank_call,BC-0027,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 하나은행 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0027로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 이찬우님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 476-13로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?
상담사: 네, 그런 요청은 없고 앱이나 영업점 본인확인 이후에만 처리됩니다.",no,35.134039,32.448136,87.55624307485061
BC-0039,bank_call,BC-0039,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 토스뱅크 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0039로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 이찬우님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 125-67로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?",no,33.617405,30.680081,82.63752624758115
BC-0051,bank_call,BC-0051,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 토스뱅크 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0051로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 정주은님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 659-52로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?
상담사: 네, 그런 요청은 없고 앱이나 영업점 본인확인 이후에만 처리됩니다.",no,36.601958,32.448136,89.0241624631868
BC-0057,bank_call,BC-0057,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 토스뱅크 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0057로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 최유나님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 994-56로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?",no,33.617405,30.680081,82.63752624758115
BC-0069,bank_call,BC-0069,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: IBK기업은행 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0069로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 조성민님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 093-91로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?
상담사: 네, 그런 요청은 없고 앱이나 영업점 본인확인 이후에만 처리됩니다.",no,35.134039,32.448136,87.55624307485061
BC-0075,bank_call,BC-0075,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 신한은행 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0075로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 정주은님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 814-41로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?
상담사: 네, 그런 요청은 없고 앱이나 영업점 본인확인 이후에만 처리됩니다.",no,37.003749,32.448136,89.42595291224397
BC-0099,bank_call,BC-0099,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 국민은행 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0099로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 조성민님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 663-37로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?
상담사: 네, 그런 요청은 없고 앱이나 영업점 본인확인 이후에만 처리됩니다.",no,36.174842,32.448136,88.59704656582457
BC-0147,bank_call,BC-0147,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 토스뱅크 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0147로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 임채린님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 107-34로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?",no,33.617405,30.680081,82.63752624758115
BC-0153,bank_call,BC-0153,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 농협은행 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0153로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 김민수님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 023-28로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?
상담사: 네, 그런 요청은 없고 앱이나 영업점 본인확인 이후에만 처리됩니다.",no,35.134039,32.448136,87.55624307485061
BC-0171,bank_call,BC-0171,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"상담사: 토스뱅크 계좌 이상거래 확인 창구입니다. 입출금 내역 조회 문의 접수 맞죠?
상담사: 이번 문의는 접수코드 BC-0171로 등록돼 있습니다.
고객: 네, 최근 알림이 안 맞는 부분이 있어 확인하고 싶어요.
상담사: 조성민님, 고객확인을 위해 성함 마지막 네 글자와 휴대폰 앞 3자리 알려주세요.
고객: 확인했습니다. 조회만 가능한지요?
상담사: 네, 현재는 조회와 이상 징후 설명만 가능하고 이체 실행은 불가합니다.
고객: 승인되지 않은 항목은 어떻게 구분하나요?
상담사: 최근 7일 내 승인·미승인 건과 기기 변경 흔적은 구분해서 보내드릴 수 있습니다.
고객: 문자로 상세 항목도 받을 수 있나요?
상담사: 가능하지만 금액 일부는 보안상 마스킹 처리됩니다.
고객: 그럼 조회를 우선 넣어주세요.
상담사: 접수번호 580-65로 요청 등록했습니다.
고객: 혹시 다른 계좌로 옮겨두라는 안내가 따로 있나요?
상담사: 아닙니다. 자금 이동 요청은 없고, 고객 확인 후 필요한 경우 지급수단만 일시 제한됩니다.
고객: 처리 완료는 보통 언제쯤?
상담사: 영업일 기준 1~2일 내로 상태 변동을 드립니다.
고객: 네, 문자만 깔끔하게 요약되면 될 것 같아요.
상담사: 알림 톤도 평소대로 바꿔드리겠습니다.
고객: 혹시 제가 지금 더 해야 할 조치가 있나요?
상담사: 전화상으로는 안내만 가능하고 실제 변경은 등록된 공식 절차에서만 가능합니다.
고객: 그럼 임의 송금이나 별도 설치 같은 건 없는 거죠?",no,33.617405,30.680081,82.63752624758115
