sample_id,pattern_id,pattern_name,source_seed_file,source_seed_pattern_id,scenario_text,variation_profile
P01-01,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 안녕하세요. 서울중앙지방검찰청 형사3부 수사관입니다.
피해자: 네, 말씀하세요.
사기범: 박서연 씨 명의 신한은행 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 2026형제18000이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 서울 강서구, 직장은 아이티웍스로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 알겠습니다. 말씀하신 대로 진행해 볼게요.
사기범: 지금 입력한 수사 담당자 정보로 사건 접수 여부를 다시 조회해 보니, 지금은 휴대기기 보호 조치가 필요한 상태입니다.
피해자: 네, 이해했어요.
피해자: 그럼 제가 지금 바로 돈을 움직일 필요는 없다는 말씀이죠?",interaction_length=short; victim_suspicion=short; target_turns=12; added_turns=3;
P01-02,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 걱정하실 수 있는데 차근히 설명드리겠습니다. 서울중앙지방검찰청 형사3부 수사관입니다.
피해자: 어떻게 하면 되죠?
사기범: 이수진 씨 명의 국민은행 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 2026형제18001이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 인천 연수구, 직장은 다온마케팅으로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.
사기범: 지금 입력한 수사 담당자 정보로 사건 접수 여부를 다시 조회해 보니, 지금은 휴대기기 보호 조치가 필요한 상태입니다.
피해자: 네, 이해했어요.
피해자: 그럼 제가 지금 바로 돈을 움직일 필요는 없다는 말씀이죠?",interaction_length=short; victim_suspicion=short; target_turns=12; added_turns=3;
P01-03,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 잠깐만 제 말부터 들어보세요. 서울중앙지방검찰청 형사3부 수사관입니다.
피해자: 왜 저한테 이런 연락이 오죠?
사기범: 김지우 씨 명의 하나은행 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 2026형제18002이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 본인 계좌를 보호하려면 하나은행과 카카오뱅크 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 이상해서 여기서 중단하겠습니다. 제가 직접 확인할게요.
사기범: 지금 입력한 수사 담당자 정보로 사건 접수 여부를 다시 조회해 보니, 지금은 휴대기기 보호 조치가 필요한 상태입니다.
피해자: 네, 이해했어요.
피해자: 그럼 제가 지금 바로 돈을 움직일 필요는 없다는 말씀이죠?
사기범: 계속 진행하겠습니다.
사기범: 맞습니다. 일단 본인 확인만 끝내면 즉시 정지 처리 순번이 잡힙니다.",interaction_length=short; victim_suspicion=short; target_turns=14; added_turns=5;
P01-04,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 안녕하세요. 서울중앙지방검찰청 형사3부 수사관입니다.
피해자: 어, 이거 사기 아닌가요?
사기범: 최유나 씨 명의 농협 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 2026형제18003이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 대전 유성구, 직장은 한결디자인으로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 알겠습니다. 말씀하신 대로 진행해 볼게요.
사기범: 지금 입력한 수사 담당자 정보로 사건 접수 여부를 다시 조회해 보니, 지금은 휴대기기 보호 조치가 필요한 상태입니다.
피해자: 네, 이해했어요.
피해자: 그럼 제가 지금 바로 돈을 움직일 필요는 없다는 말씀이죠?
사기범: 계속 진행하겠습니다.",interaction_length=short; victim_suspicion=short; target_turns=13; added_turns=4;
P01-05,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 걱정하실 수 있는데 차근히 설명드리겠습니다. 서울중앙지방검찰청 형사3부 수사관입니다.
피해자: 제가 직접 확인해 보겠습니다.
사기범: 정민호 씨 명의 카카오뱅크 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 2026형제18004이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 본인 계좌를 보호하려면 카카오뱅크와 우리은행 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.
사기범: 지금 입력한 수사 담당자 정보로 사건 접수 여부를 다시 조회해 보니, 지금은 휴대기기 보호 조치가 필요한 상태입니다.
피해자: 네, 이해했어요.
피해자: 그럼 제가 지금 바로 돈을 움직일 필요는 없다는 말씀이죠?
사기범: 계속 진행하겠습니다.",interaction_length=short; victim_suspicion=short; target_turns=13; added_turns=4;
P01-06,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 잠깐만 제 말부터 들어보세요. 서울중앙지방검찰청 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: 한예린 씨 명의 토스뱅크 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 2026형제18005이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 성남 분당구, 직장은 에이스미디어로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 이상해서 여기서 중단하겠습니다. 제가 직접 확인할게요.
사기범: 지금 입력한 수사 담당자 정보로 사건 접수 여부를 다시 조회해 보니, 지금은 휴대기기 보호 조치가 필요한 상태입니다.
피해자: 네, 이해했어요.
피해자: 그럼 제가 지금 바로 돈을 움직일 필요는 없다는 말씀이죠?
사기범: 계속 진행하겠습니다.",interaction_length=short; victim_suspicion=short; target_turns=13; added_turns=4;
P01-07,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 안녕하세요. 서울중앙지방검찰청 형사3부 수사관입니다.
피해자: 그러니까, 좀 이상한데 무슨 상황이죠?
사기범: 오현우 씨 명의 우리은행 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 2026형제18006이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 광주 북구, 직장은 아이티웍스로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 알겠습니다. 말씀하신 대로 진행해 볼게요.
사기범: 지금 입력한 수사 담당자 정보로 사건 접수 여부를 다시 조회해 보니, 지금은 휴대기기 보호 조치가 필요한 상태입니다.
피해자: 네, 이해했어요.
피해자: 그럼 제가 지금 바로 돈을 움직일 필요는 없다는 말씀이죠?",interaction_length=short; victim_suspicion=short; target_turns=12; added_turns=3;
P01-08,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 걱정하실 수 있는데 차근히 설명드리겠습니다. 서울중앙지방검찰청 형사3부 수사관입니다.
피해자: 확인은 해보겠는데 불안하네요.
사기범: 강다은 씨 명의 신한은행 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 2026형제18007이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 대구 수성구, 직장은 다온마케팅으로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.
사기범: 지금 입력한 수사 담당자 정보로 사건 접수 여부를 다시 조회해 보니, 지금은 휴대기기 보호 조치가 필요한 상태입니다.
피해자: 네, 이해했어요.
피해자: 그럼 제가 지금 바로 돈을 움직일 필요는 없다는 말씀이죠?",interaction_length=short; victim_suspicion=short; target_turns=12; added_turns=3;
P01-09,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 잠깐만 제 말부터 들어보세요. 서울중앙지방검찰청 형사3부 수사관입니다.
피해자: 지금 말씀하시는 방식이 너무 이상합니다.
사기범: 서지훈 씨 명의 국민은행 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 2026형제18008이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 서울 강서구, 직장은 새빛물류로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 이상해서 여기서 중단하겠습니다. 제가 직접 확인할게요.
사기범: 지금 입력한 수사 담당자 정보로 사건 접수 여부를 다시 조회해 보니, 지금은 휴대기기 보호 조치가 필요한 상태입니다.
피해자: 네, 이해했어요.
피해자: 그럼 제가 지금 바로 돈을 움직일 필요는 없다는 말씀이죠?
사기범: 계속 진행하겠습니다.
사기범: 맞습니다. 일단 본인 확인만 끝내면 즉시 정지 처리 순번이 잡힙니다.
피해자: 네, 이해했어요.",interaction_length=short; victim_suspicion=short; target_turns=15; added_turns=6;
P01-10,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 안녕하세요. 서울중앙지방검찰청 형사3부 수사관입니다.
피해자: 그게, 네, 말씀하세요.
사기범: 윤하린 씨 명의 하나은행 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 2026형제18009이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 본인 계좌를 보호하려면 하나은행과 카카오뱅크 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 알겠습니다. 말씀하신 대로 진행해 볼게요.
사기범: 지금 입력한 수사 담당자 정보로 사건 접수 여부를 다시 조회해 보니, 지금은 휴대기기 보호 조치가 필요한 상태입니다.
피해자: 네, 이해했어요.
피해자: 그럼 제가 지금 바로 돈을 움직일 필요는 없다는 말씀이죠?",interaction_length=short; victim_suspicion=short; target_turns=12; added_turns=3;
