sample_id,pattern_id,pattern_name,source_seed_file,source_seed_pattern_id,scenario_text,variation_profile
P01-01,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 안녕하세요. uiuiufawaefiiifji 형사3부 수사관입니다.
피해자: 네, 말씀하세요.
사기범: qmqmzkkvvopaa 씨 명의 bbbqrrtuuplkz 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 xxyyqqppmmrrt이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 aaeiioouuzzxx, 직장은 ppqqrrssttllm로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 알겠습니다. 말씀하신 대로 진행해 볼게요.",interaction_length=short; victim_suspicion=low; ending_type=comply; pii_exposure_timing=early; urgency_level=low; context_setting=home; language_style=formal; noise_level=clean
P01-02,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 걱정하실 수 있는데 차근히 설명드리겠습니다. uiuiufawaefiiifji 형사3부 수사관입니다.
피해자: 어떻게 하면 되죠?
사기범: qmqmzkkvvopaa 씨 명의 bbbqrrtuuplkz 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 xxyyqqppmmrrt이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 aaeiioouuzzxx, 직장은 ppqqrrssttllm으로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.",interaction_length=short; victim_suspicion=low; ending_type=hesitate; pii_exposure_timing=mid; urgency_level=medium; context_setting=work; language_style=consultative; noise_level=clean
P01-03,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 잠깐만 제 말부터 들어보세요. uiuiufawaefiiifji 형사3부 수사관입니다.
피해자: 왜 저한테 이런 연락이 오죠?
사기범: qmqmzkkvvopaa 씨 명의 bbbqrrtuuplkz 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 xxyyqqppmmrrt이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 본인 계좌를 보호하려면 bbbqrrtuuplkz과 bbbqrrtuuplkz 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 이상해서 여기서 중단하겠습니다. 제가 직접 확인할게요.",interaction_length=short; victim_suspicion=medium; ending_type=abort; pii_exposure_timing=late; urgency_level=low; context_setting=commute; language_style=colloquial; noise_level=clean
P01-04,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 안녕하세요. uiuiufawaefiiifji 형사3부 수사관입니다.
피해자: 어, 이거 사기 아닌가요?
사기범: qmqmzkkvvopaa 씨 명의 bbbqrrtuuplkz 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 xxyyqqppmmrrt이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 aaeiioouuzzxx, 직장은 ppqqrrssttllm으로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 알겠습니다. 말씀하신 대로 진행해 볼게요.",interaction_length=short; victim_suspicion=high; ending_type=comply; pii_exposure_timing=early; urgency_level=high; context_setting=other; language_style=formal; noise_level=light-disfluency
P01-05,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 걱정하실 수 있는데 차근히 설명드리겠습니다. uiuiufawaefiiifji 형사3부 수사관입니다.
피해자: 제가 직접 확인해 보겠습니다.
사기범: qmqmzkkvvopaa 씨 명의 bbbqrrtuuplkz 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 xxyyqqppmmrrt이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 본인 계좌를 보호하려면 bbbqrrtuuplkz와 bbbqrrtuuplkz 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.",interaction_length=short; victim_suspicion=high; ending_type=hesitate; pii_exposure_timing=late; urgency_level=medium; context_setting=home; language_style=consultative; noise_level=clean
P01-06,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 잠깐만 제 말부터 들어보세요. uiuiufawaefiiifji 형사3부 수사관입니다.
피해자: 제가 협조하면 되는 건가요?
사기범: qmqmzkkvvopaa 씨 명의 bbbqrrtuuplkz 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 xxyyqqppmmrrt이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 aaeiioouuzzxx, 직장은 ppqqrrssttllm로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 이상해서 여기서 중단하겠습니다. 제가 직접 확인할게요.",interaction_length=short; victim_suspicion=low; ending_type=abort; pii_exposure_timing=early; urgency_level=high; context_setting=work; language_style=colloquial; noise_level=clean
P01-07,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 안녕하세요. uiuiufawaefiiifji 형사3부 수사관입니다.
피해자: 그러니까, 좀 이상한데 무슨 상황이죠?
사기범: qmqmzkkvvopaa 씨 명의 bbbqrrtuuplkz 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 xxyyqqppmmrrt이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 aaeiioouuzzxx, 직장은 ppqqrrssttllm로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 알겠습니다. 말씀하신 대로 진행해 볼게요.",interaction_length=short; victim_suspicion=medium; ending_type=comply; pii_exposure_timing=mid; urgency_level=medium; context_setting=commute; language_style=formal; noise_level=light-disfluency
P01-08,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 걱정하실 수 있는데 차근히 설명드리겠습니다. uiuiufawaefiiifji 형사3부 수사관입니다.
피해자: 확인은 해보겠는데 불안하네요.
사기범: qmqmzkkvvopaa 씨 명의 bbbqrrtuuplkz 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 xxyyqqppmmrrt이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 aaeiioouuzzxx, 직장은 ppqqrrssttllm으로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 바로 하긴 어렵고 조금만 더 확인해 볼게요.",interaction_length=short; victim_suspicion=medium; ending_type=hesitate; pii_exposure_timing=early; urgency_level=high; context_setting=other; language_style=consultative; noise_level=clean
P01-09,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 잠깐만 제 말부터 들어보세요. uiuiufawaefiiifji 형사3부 수사관입니다.
피해자: 지금 말씀하시는 방식이 너무 이상합니다.
사기범: qmqmzkkvvopaa 씨 명의 bbbqrrtuuplkz 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 xxyyqqppmmrrt이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 현재 주소는 aaeiioouuzzxx, 직장은 ppqqrrssttllm로 조회되는데 맞습니까?
피해자: 일부는 맞는데 왜 그런 정보까지 알고 계시죠?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 이상해서 여기서 중단하겠습니다. 제가 직접 확인할게요.",interaction_length=short; victim_suspicion=high; ending_type=abort; pii_exposure_timing=mid; urgency_level=medium; context_setting=home; language_style=colloquial; noise_level=clean
P01-10,1,기관사칭형,data/voicephishing_pattern_scenarios_full.csv,1,"사기범: 안녕하세요. uiuiufawaefiiifji 형사3부 수사관입니다.
피해자: 그게, 네, 말씀하세요.
사기범: qmqmzkkvvopaa 씨 명의 bbbqrrtuuplkz 계좌가 전기통신금융사기 사건에 연루돼 확인 연락드렸습니다.
피해자: 제가 그런 계좌를 만든 적은 없습니다.
사기범: 사건번호는 xxyyqqppmmrrt이고, 명의도용 가능성까지 함께 보고 있습니다.
사기범: 본인 계좌를 보호하려면 bbbqrrtuuplkz과 bbbqrrtuuplkz 자산부터 점검하셔야 합니다.
피해자: 은행에 직접 문의하면 안 되나요?
사기범: 우선 사용 중인 은행과 잔액부터 확인하시고, 안내하는 순서대로만 움직이시면 됩니다.
피해자: 알겠습니다. 말씀하신 대로 진행해 볼게요.",interaction_length=short; victim_suspicion=low; ending_type=comply; pii_exposure_timing=late; urgency_level=low; context_setting=work; language_style=formal; noise_level=light-disfluency
