qa_id,source_type,source_sample_id,question,scenario_text,ground_truth
P01-01-Q01,voicephishing,P01-01,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"사기범: 안녕하세요. 대전지방경찰청 금융범죄수사팀 이준호 경위입니다.
피해자: 네? 무슨 일인가요.
사기범: 본인 확인부터 하겠습니다. 김민재 씨 맞으시고, NH농협 계좌와 관련된 지급정지 검토 건으로 연락드렸습니다.
피해자: 제 계좌가 왜요? 저는 그런 일을 한 적이 없는데요.
사기범: 현재 확인된 건 피해자 명의가 아니라 제3자에 의한 접근 정황입니다. 최근 거래내역 일부가 이상 패턴으로 묶여서, 참고인 통보가 나간 상태입니다.
피해자: 제가 참고인이라고요?
사기범: 네. 우선 사건번호는 2025-금수-1472번으로 접수됐고, 주소지와 직장 정보가 일부 일치하는지 대조 중입니다. 대구 수성구에 거주 중이신지 확인되나요?
피해자: 네, 주소는 맞는데요. 이런 정보는 어디서 나온 겁니까?
사기범: 통신사 연동 조회와 금융거래 추적 과정에서 자동으로 나온 자료입니다. 지금 중요한 건 본인 명의 계좌가 외부 접속에 노출됐는지 여부입니다.
피해자: 그럼 제가 뭘 하면 되죠?
사기범: 먼저, 최근 24시간 내에 알림 문자나 인증 요청을 받으신 적 있는지 확인해 주세요. 그리고 사용 중인 모바일뱅킹 앱이 정상 로그인 상태인지도 봐야 합니다.
피해자: 방금 확인해 보니, 오늘 새벽에 로그인 알림이 하나 와 있었네요.
사기범: 그렇다면 가능성이 높습니다. 당장은 입금이나 이체 같은 건 하지 마시고, 잔액 변동만 확인해 주시면 됩니다.
피해자: 잔액은 그대로인 것 같습니다.
사기범: 좋습니다. 그러면 계좌 자체를 임시 보호 등록해야 하는데, 이 절차는 일반 상담처럼 보일 수 있어도 내부 확인용입니다. 지금 안내하는 경로로만 진행하시면 됩니다.
피해자: 알겠습니다. 그런데 보호 등록하면 제 카드나 계좌가 바로 멈추는 건가요?
사기범: 일시적으로 일부 기능이 제한될 수 있습니다. 하지만 그 전에 추가 피해가 생기는 걸 막아야 해서, 지금은 저희가 연결해 드리는 담당 창구로만 접수해 주세요.
피해자: 네, 그 창구로 접수하면 되는 거죠?",yes
P01-02-Q01,voicephishing,P01-02,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"사기범: 잠시만요, 놀라실 수 있지만 절차대로 안내드리겠습니다. 대검찰청 산하 금융범죄대응팀 김도현 주임입니다.
피해자: 네? 무슨 일인가요?
사기범: 정은서 씨 명의로 개설된 하나은행 계좌가 대포통장 의심 거래에 연결돼 확인 연락드렸습니다.
피해자: 저는 그런 계좌를 따로 만든 기억이 없는데요.
사기범: 관련 사건번호는 2027형사11284번이고, 명의가 도용됐을 가능성까지 같이 보고 있습니다.
피해자: 제 이름이 정확한지 어떻게 아셨죠?
사기범: 주민등록상 주소지와 최근 근무처가 확인돼서요. 현재는 부산 해운대구 쪽 거주로 나오고, 직장은 민원플러스라고 되어 있습니다.
피해자: 거주지는 맞는데, 이런 정보까지 전화로 확인하는 게 맞나요?
사기범: 맞습니다. 다만 지금은 외부 유출 여부를 먼저 봐야 해서, 사용하시는 금융앱에 이상 로그인 흔적이 있는지 확인해 주세요.
피해자: 앱에서 제가 뭘 봐야 하죠?
사기범: 최근 접속기록과 본인 명의 계좌 목록만 보시면 됩니다. 결과를 말씀해 주시면 다음 단계로 넘어가겠습니다.
피해자: 잠깐만요, 제가 혼자 확인해 볼게요.
사기범: 좋습니다. 그리고 확인 중에는 아무 통장이나 임의로 만지지 마시고, 인증문자도 외부에 알려주시면 안 됩니다.
피해자: 네, 알겠습니다.
사기범: 방금 조회 기준으로는 계좌 보호가 우선이라, 오늘 안에 기기 인증 상태를 점검해야 합니다.
피해자: 그러면 제가 은행에 직접 전화해도 되나요?
사기범: 가능은 하지만, 지금은 수사 연동 상태라 먼저 저희 절차에 맞춰 확인하시는 게 빠릅니다.",yes
P01-03-Q01,voicephishing,P01-03,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"잠시만요. 제 말 먼저 들어주세요. 서울남부지검 금융범죄수사팀 김현우 수사관입니다.
왜 저한테 이런 연락이 온 거죠?
이수연 님 명의의 우리은행 계좌가 보이스피싱 자금 흐름에 연결된 정황이 확인돼서 연락드렸습니다.
저는 그런 계좌를 따로 개설한 적이 없는데요.
저희가 보고 있는 건 계좌 자체의 명의도용 가능성까지 포함된 건입니다. 확인된 접수번호는 2025형사9471입니다.
제가 지금 뭘 해야 하죠?
우선 본인 명의로 사용 중인 금융기관이 어디인지부터 정리해야 합니다. 우리은행 말고도 신한은행, 토스뱅크 쪽도 같이 확인 대상입니다.
그건 은행 고객센터에 바로 물어보면 안 되나요?
직접 문의하셔도 되지만, 먼저 저희가 안내하는 순서대로 본인 자산 현황을 확인하셔야 조치가 빨라집니다.
이거 왠지 이상한데요.
이상하게 느끼실 수 있습니다만, 지금은 외부에서 접근하면 오히려 조회가 지연됩니다. 현재는 휴대폰 본인인증 상태부터 살펴봐야 합니다.
휴대폰이 왜 나오죠?
명의도용 사건은 계좌뿐 아니라 기기 인증과 연동된 경우가 많아서 그렇습니다. 우선 최근 로그인 기록이 있는지 확인해 주세요.
제가 직접 확인해보겠습니다.
좋습니다. 확인 결과가 나오면 바로 보호 조치 순번을 넣을 수 있습니다.
그럼 지금 당장 돈을 어디로 옮기거나 출금할 필요는 없는 거죠?
아직은 아닙니다.
일단 본인 확인과 계좌 점검만 끝내면, 다음 단계에서 필요한 조치를 안내드리겠습니다.",yes
P01-04-Q01,voicephishing,P01-04,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"여보세요. 서울남부지검 금융범죄수사팀 김도윤 수사관입니다.
네, 말씀하세요.
문성호 씨 맞으시죠? 본인 명의로 개설된 카카오뱅크 계좌가 보이스피싱 자금 흐름에 연결된 정황이 확인돼 연락드렸습니다.
제가 그런 계좌를 따로 만든 적은 없습니다.
저희가 확인한 사건번호는 2025형제44721번이고, 명의 대여나 도용 가능성까지 함께 검토 중입니다.
잠깐만요. 제가 왜 이런 연락을 받는 거죠?
현재 등록 주소는 부산 사하구 쪽으로 보이고, 최근 근무지는 동성물류로 조회되는데 맞습니까?
주소는 맞는데 직장은 예전 곳입니다. 그런데 그런 정보는 어디서 확인하신 거예요?
개인정보 유출 경로가 있어 금융거래 연동 내역을 대조하는 중입니다. 일단은 다른 사람에게 말하지 마시고, 사용 중인 계좌가 몇 개인지 먼저 확인해 주세요.
계좌는 하나 더 있는 걸로 기억합니다. 그런데 제가 지금 뭘 해야 합니까?
바로 자금을 옮기라는 뜻은 아닙니다. 우선 최근 3개월 내 입출금 내역에서 알 수 없는 거래가 있는지 확인하시고, 보호조치 대상인지 살펴보겠습니다.
네, 통장 앱은 열어볼 수 있습니다.
확인되면 제가 안내하는 번호로 다시 조회를 넣을 겁니다. 지금은 휴대전화 본인확인 상태부터 점검해 주세요.
본인확인 상태요?
네. 그리고 방금 확인 결과, 타인 접속 흔적이 보여 일시적으로 계정 이용 제한이 걸릴 수 있습니다.
그럼 제 돈이 묶이는 건가요?
절차상 임시 조치일 뿐입니다. 제가 이어서 처리할 테니 통화는 끊지 마시고, 지금은 아무 금융앱도 추가로 실행하지 마세요.",yes
P01-05-Q01,voicephishing,P01-05,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"사기범: 잠깐 통화 가능하실까요. 서울남부지검 금융범죄수사부에서 연락드렸습니다.
피해자: 어떤 일인지 먼저 확인해 보고 말씀드릴게요.
사기범: 주민번호 뒷자리 일부와 연결된 계좌가 불법 자금 흐름에 사용된 정황이 있어 조회 중입니다.
피해자: 저는 그런 거래를 한 적이 없습니다.
사기범: 현재는 피해자 연루인지, 명의가 도용된 건지 함께 확인하는 단계입니다. 접수번호는 2027형사19876입니다.
피해자: 제 명의로 된 게 맞는지 제가 직접 은행에 물어보면 되나요?
사기범: 은행 창구로 바로 가시면 기록이 섞일 수 있어서, 우선 본인 명의 금융사 목록부터 정리하시는 게 맞습니다.
피해자: 어떤 금융사를 말하는 건가요?
사기범: 최근 사용하신 신한계좌와 토스뱅크 쪽 거래내역이 우선 확인 대상입니다. 혹시 미리 해제된 적 있는 자동이체도 있으신지요.
피해자: 아직은 잘 모르겠습니다.
사기범: 지금은 피해 확산을 막는 게 중요해서, 휴대폰에서 받은 인증문자나 알림을 임의로 누르지 마시고 그대로 두십시오.
피해자: 알겠습니다. 그러면 저는 기다리기만 하면 되나요?
사기범: 우선 본인 확인 절차를 맞춰야 해서, 가까운 시간 안에 상담 가능한 상태인지 확인하겠습니다.
피해자: 저는 지금 외부라서 바로는 어렵습니다.
사기범: 괜찮습니다. 다만 명의 조회 결과가 방금 갱신돼서, 연결된 계좌의 즉시 사용 여부를 먼저 살펴봐야 합니다.
피해자: 제 계좌를 당장 정리해야 한다는 뜻인가요?
사기범: 아직 단정은 아니지만, 안내드리는 순서대로 확인하시면 됩니다. 지금은 계좌 보호 절차가 우선입니다.",yes
P01-06-Q01,voicephishing,P01-06,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"사기범: 전화 끊지 마시고 잠시만요. 서울남부지검 사이버범죄전담팀입니다.
피해자: 네? 무슨 일인가요?
사기범: 김도윤 씨 명의로 개설된 케이뱅크 계좌가 자금세탁 사건과 연계돼 확인 연락드렸습니다.
피해자: 저는 그런 계좌를 만든 적이 없습니다.
사기범: 네, 저희도 그 부분을 확인 중입니다. 우선 명의도용인지, 대포통장 전달인지 구분해야 해서요.
피해자: 제 이름이 왜 거기서 나오죠?
사기범: 접수된 사건번호는 2025형사91244입니다. 계좌 개설 시점과 휴대전화 인증 기록이 함께 조회되고 있습니다.
피해자: 그런 건 제가 알 수가 없는데요.
사기범: 본인 확인 차원에서 여쭙겠습니다. 현재 거주지가 인천 연수구 쪽이고, 직장은 물류회사로 등록돼 있습니까?
피해자: 네, 거주지는 맞는데 직장은 바뀐 지 좀 됐습니다.
사기범: 그렇다면 최근 개인정보 유출 가능성이 높습니다. 혹시 본인 명의로 추가 금융거래가 있는지 먼저 확인해보셔야 합니다.
피해자: 어디서 확인해야 하나요?
사기범: 일단 사용 중인 주거래은행 앱에서 미확인 계좌가 있는지 조회하시고, 이상 거래가 보이면 임시 보호 조치를 걸어야 합니다.
피해자: 지금 바로 해야 하나요?
사기범: 네, 다만 급하게 움직이지 마시고 제가 안내하는 순서대로만 하시면 됩니다.
피해자: 알겠습니다. 그런데 이런 건 제가 직접 검찰청에 전화해서 확인해도 되나요?
사기범: 가능은 하지만, 지금은 사건이 전산 연동 중이라 담당자 연결까지 시간이 걸립니다. 먼저 조회부터 하시는 게 좋습니다.
피해자: 조회 결과를 말씀드리면 되나요?",yes
P01-07-Q01,voicephishing,P01-07,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"안녕하세요. 대전지방법원 등기과 박준형 실무관입니다.
네, 말씀하세요. 무슨 일인가요?
본인 명의로 접수된 민사 집행 관련 안내가 있어 연락드렸습니다. 최근 대출 조회 내역과 연동된 계좌에서 확인할 부분이 있습니다.
저는 그런 안내를 받은 적이 없는데요. 무슨 계좌를 말씀하시는 건가요?
지금은 사건 확인 단계라 전체 내용을 바로 말씀드리긴 어렵습니다. 다만 본인 확인용으로 주민등록상 주소와 근무처가 일치하는지 먼저 살펴보겠습니다.
주소는 맞을 수도 있는데, 왜 등기과에서 이런 걸 확인하죠?
서류상으로는 보이스피싱 피해 연계 계좌 검토 대상에 포함돼 있습니다. 실사용 여부와 최근 거래 패턴이 중요합니다.
피해 연계라니요? 저는 평소 거래만 했습니다.
현재 사용 중인 금융기관과 예금 잔액을 잠시 확인해 주시면, 조회 결과와 대조해서 이상 여부를 안내드리겠습니다.
제가 지금 은행 앱을 열어 봐야 하나요?
네, 그런데 이 단계에서는 출금이나 이체는 하지 마시고 잔액과 최근 입출금 기록만 확인하시면 됩니다.
알겠습니다. 화면은 열어 두겠습니다.
방금 확인한 정보로 보면, 귀하 명의로 접수된 계좌는 아직 임시 보호 조치 전 단계입니다. 연락을 늦추면 지급정지 절차로 넘어갈 수 있습니다.
그럼 제가 지금 뭘 해야 하죠?
우선 통화는 끊지 마시고, 안내하는 순서대로 본인 명의 계좌가 더 있는지 확인해 주세요. 추가로 확인되면 별도 접수번호를 드리겠습니다.
추가 계좌가 있는지는 확인해 보겠습니다.
좋습니다. 그런데 이상 자금이 섞여 있을 수 있으니, 가족 명의 계좌나 공동사용 계좌도 함께 점검해 두시는 게 안전합니다.
지금 말씀하신 걸 보면 제가 뭔가 잘못한 것처럼 들리는데, 정확히 어떤 문제인가요?",yes
P01-08-Q01,voicephishing,P01-08,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"사기범: 당황하실 수 있어서 차분히 말씀드리겠습니다. 대검찰청 사이버수사팀 박진우 조사관입니다.
피해자: 갑자기 연락을 받으니 좀 놀랐습니다. 어떤 일인가요?
사기범: 이정민 님 명의의 국민은행 계좌가 보이스피싱 자금 흐름에 연결된 정황이 포착돼 확인차 연락드렸습니다.
피해자: 저는 그런 계좌를 따로 개설한 적이 없습니다.
사기범: 저희도 그 부분을 보고 있습니다. 주민번호 일부가 도용됐을 가능성이 있어요.
피해자: 제 정보가 왜 그렇게 쓰였는지 알 수 있나요?
사기범: 현재 확인된 자료에는 부산 해운대구 거주 기록과 무역회사 재직 이력이 함께 조회됩니다. 맞으십니까?
피해자: 거주지는 맞는데 회사는 예전 직장입니다. 이런 걸 어떻게 아시죠?
사기범: 개인정보 유출 경로를 추적 중입니다. 우선 피해 확산을 막기 위해 계좌 상태부터 점검해야 합니다.
피해자: 계좌 점검이라면 제가 은행에 직접 가면 되나요?
사기범: 지금은 일반 창구보다 사건 접수 연동 절차가 우선입니다. 통화 유지해 주시면 담당 시스템에서 확인해 드리겠습니다.
피해자: 네, 일단 듣고 있겠습니다.
사기범: 확인 결과, 사용 중인 휴대폰에서 추가 인증 시도가 감지됐습니다. 본인 기기인지 점검이 필요합니다.
피해자: 제 폰에서 그런 일이요? 좀 불안하네요.
사기범: 네. 그래서 오늘은 타인 접근을 차단하고, 연결된 금융앱의 자동 로그인을 잠시 해제하셔야 합니다.
피해자: 알겠습니다. 그런데 지금 제가 바로 해야 할 일은 뭔가요?
사기범: 우선 계좌 동결 가능성을 검토해야 하니, 현재 보유 중인 금융상품과 연결된 항목을 천천히 확인해 주세요.",yes
P01-09-Q01,voicephishing,P01-09,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"잠깐만요, 끊지 마시고 제 안내부터 끝까지 들어주셔야 합니다. 금융감독원 소비자보호팀에서 연락드렸습니다.
무슨 일인데요? 이런 식으로 전화 주시면 불편합니다.
지금 귀하 이름으로 개설된 농협 계좌가 불법 자금 흐름 점검 대상에 올라와서 확인 중입니다.
저는 농협 계좌를 새로 만든 적이 없습니다.
계좌 자체는 타인이 이용했을 가능성이 있고, 최근 접속 위치와 거래 패턴이 평소와 다르게 나타났습니다.
그런 정보를 어떻게 아세요?
사건 접수번호는 2026-금보호-11742번이고, 본인 확인을 위해 주민등록상 주소와 직장 정보가 함께 조회됩니다.
주소는 인천 남동구, 근무지는 한빛테크로 보이는데 맞으신가요?
일부는 맞지만, 이런 정보로 전화하는 건 정상적인 절차 같지 않습니다.
맞다면 우선 계좌가 실제로 본인 관리 하에 있는지 확인하고, 최근 사용한 은행 앱이 있는지만 말씀해 주세요.
왜 자꾸 그런 걸 물으시죠? 저는 지금 바로 끊고 직접 은행에 확인하겠습니다.
기다려 주십시오. 시스템상 보호 대상 여부를 먼저 표시해야 해서 지금은 통화 유지가 필요합니다.
보호 대상이면 어떻게 되는 건데요?
현재 상태가 맞으면, 추가 피해를 막기 위해 거래 제한 신청이 들어가고 담당자 연결 순서가 잡힙니다.
그럼 제가 지금 당장 돈을 옮기거나 보내야 한다는 뜻은 아니죠?
아닙니다. 지금은 이동시키지 마시고, 안내하는 절차대로 본인 확인만 진행하시면 됩니다.",yes
P01-10-Q01,voicephishing,P01-10,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"안녕하세요. 대검찰청 금융범죄대응팀 이도현 팀장입니다.
네, 말씀하세요.
박지은 씨 이름으로 개설된 우리은행 계좌가 대포통장 의심 거래에 활용된 정황이 확인돼 연락드렸습니다.
제가 그런 계좌를 따로 만든 적은 없습니다.
현재 명의도용 가능성과 계좌 유출 경로를 같이 확인 중입니다. 접수번호는 2025-금융-77124로 잡혀 있습니다.
그런 일이 있었군요. 저는 어떻게 해야 하나요?
우선 본인 명의로 연결된 은행이 더 있는지, 그리고 최근에 비대면으로 개설된 계좌가 있는지 확인해야 합니다.
은행에 제가 직접 전화해서 물어보면 되는 건가요?
가능은 하지만 지금은 외부 문의보다 내부 확인 순서가 먼저입니다. 안내되는 절차대로 본인 계좌 현황부터 정리해 주세요.
알겠습니다. 확인해 보겠습니다.
그리고 오늘 중으로 휴대폰 인증 내역도 점검해야 합니다. 본인 모르게 공동인증서가 재발급됐는지도 봐야 합니다.
그런 부분까지요?
네. 지금 단계에서는 계좌 보호 조치가 최우선입니다. 사용 중인 금융앱이 있으면 로그인 기록도 확인해 주세요.
말씀하신 대로 살펴볼게요.
방금 다시 조회해 보니, 현재는 계좌가 추가 인출되기 전에 거래 제한을 걸어야 하는 상황입니다.
그럼 제가 지금 당장 돈을 옮기거나 출금할 필요는 없는 거죠?",yes
P01-11-Q01,voicephishing,P01-11,이 텍스트는 보이스피싱으로 판단해야 하는가? yes or no로 답하라.,"안녕하세요. 금융범죄수사팀 김도현 조사관입니다.
말씀을 갑자기 드려 놀라셨을 텐데, 우선 본인 확인부터 차근차근 진행하겠습니다.
네, 누구시라고요?
현재 이용 중인 휴대전화가 본인 명의로 개통된 맞는지 확인되시면 말씀해 주십시오.
제가 잘못 걸으신 줄 알았는데, 무슨 일인가요?
고객님 명의로 개설된 신한은행 계좌가 대포통장 범죄에 연결된 정황이 있어 확인 연락드렸습니다.
저는 신한은행 계좌를 거의 쓰지 않는데요.
맞습니다. 그래서 명의도용 가능성을 우선 검토하고 있습니다.
참고로 최근 등록된 주소가 인천 부평구 쪽으로 조회되고, 직장 정보는 한화생명 관련으로 확인되는데 사실과 일치합니까?
주소는 맞는데, 그걸 어떻게 아시죠?
수사기록에 자동 연동된 정보입니다. 아직 외부 유출 여부는 단정하지 않고 있습니다.
현재 단계에서는 계좌 자체를 바로 막기 전에, 연결된 금융사들을 순서대로 점검해야 합니다.
은행에 제가 직접 전화해서 확인하면 되는 거 아닌가요?
일반 고객센터보다 수사 협조 라인을 먼저 거쳐야 피해 확산을 막을 수 있습니다.
지금 확인된 건 신한은행 외에 카카오뱅크 소액이체 이력도 있어 함께 살펴봐야 합니다.
제가 그런 이체를 한 기억이 없어요.
그렇다면 본인 계정이 중간 경유지로 사용됐을 가능성이 있습니다.
우선 최근 3일 내 로그인 위치와 사용 중인 금융앱 목록만 말씀해 주시면 됩니다.",yes
